n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
4;16384;16384;estimate;par;25.2581;2.12798;23.13;4.30502;7.24122;4.84225;6.74149;0.00950433;1.94665e+10;
4;16384;16384;estimate;par;25.2414;2.11386;23.1274;4.28998;7.1525;4.73019;6.95474;0.00960351;1.94665e+10;
4;16384;16384;estimate;par;24.8268;2.09104;22.7356;4.17447;7.07405;4.73768;6.74944;0.00956959;1.94665e+10;
4;16384;16384;estimate;par;25.1633;2.10721;23.0561;4.23008;7.23573;4.7845;6.80575;0.00966599;1.94665e+10;
4;16384;16384;estimate;par;25.1855;2.11268;23.0728;4.19771;7.21575;4.96265;6.69666;0.00962485;1.94665e+10;
4;16384;16384;estimate;par;25.1822;2.10895;23.0732;4.29302;7.11822;4.93517;6.72679;0.00962097;1.94665e+10;
4;16384;16384;estimate;par;25.3491;2.1144;23.2346;4.17337;7.32495;4.86326;6.87304;0.00966867;1.94665e+10;
4;16384;16384;estimate;par;25.0765;2.11321;22.9632;4.2399;7.14623;4.86813;6.70893;0.00958423;1.94665e+10;
4;16384;16384;estimate;par;24.9279;2.12581;22.802;4.20218;7.05881;4.83438;6.70663;0.00923155;1.94665e+10;
4;16384;16384;estimate;par;24.8923;2.07598;22.8162;4.16313;7.16171;4.77925;6.71209;0.00963665;1.94665e+10;
4;16384;16384;estimate;par;24.9388;2.09976;22.839;4.21197;7.1088;4.83717;6.68103;0.00927321;1.94665e+10;
4;16384;16384;estimate;par;25.0738;2.09069;22.983;4.21803;7.25126;4.92968;6.58404;0.00950239;1.94665e+10;
4;16384;16384;estimate;par;24.9017;2.10141;22.8002;4.23535;7.14902;4.80394;6.61187;0.00960409;1.94665e+10;
4;16384;16384;estimate;par;25.0918;2.11247;22.9792;4.29311;7.17316;4.82456;6.68837;0.00968019;1.94665e+10;
4;16384;16384;estimate;par;25.2223;2.09838;23.1238;4.18547;7.17593;4.82892;6.93348;0.00973363;1.94665e+10;
4;16384;16384;estimate;par;25.2182;2.08883;23.1293;4.2191;7.18314;4.83391;6.89311;0.00956789;1.94665e+10;
4;16384;16384;estimate;par;25.4051;2.11921;23.2858;4.22228;7.15802;4.89707;7.00841;0.00928149;1.94665e+10;
4;16384;16384;estimate;par;25.2131;2.09822;23.1148;4.23474;7.23874;4.87572;6.76556;0.00957731;1.94665e+10;
4;16384;16384;estimate;par;25.0962;2.10837;22.9877;4.25738;7.26777;4.61038;6.85214;0.00931391;1.94665e+10;
4;16384;16384;estimate;par;24.8982;2.12816;22.7699;4.15624;6.98893;4.7785;6.84625;0.00965301;1.94665e+10;
4;16384;16384;estimate;par;24.9967;2.10314;22.8935;4.20697;7.12853;4.76364;6.79433;0.00979697;1.94665e+10;
4;16384;16384;estimate;par;24.936;2.08863;22.8473;4.19509;7.18939;4.72968;6.7331;0.00953943;1.94665e+10;
