n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
8;16384;16384;estimate;1.5166;0.419949;1.09664;0.351995;0.236455;0.232199;0.27599;
8;16384;16384;estimate;1.49875;0.418408;1.08033;0.354402;0.234491;0.232401;0.259038;
8;16384;16384;estimate;1.55603;0.42192;1.1341;0.352154;0.240198;0.231668;0.310082;
8;16384;16384;estimate;1.51674;0.420581;1.09614;0.354188;0.23591;0.231175;0.274871;
8;16384;16384;estimate;1.5209;0.420365;1.10053;0.352044;0.241962;0.231867;0.274655;
8;16384;16384;estimate;1.52149;0.418282;1.1032;0.353975;0.238892;0.232161;0.278172;
8;16384;16384;estimate;1.51898;0.418229;1.10075;0.354838;0.234834;0.232083;0.27899;
8;16384;16384;estimate;1.50727;0.419054;1.08821;0.35574;0.236013;0.232564;0.263893;
8;16384;16384;estimate;1.518;0.419845;1.09814;0.353517;0.234141;0.23211;0.278375;
8;16384;16384;estimate;1.49557;0.420321;1.07524;0.352968;0.235005;0.231485;0.25578;
8;16384;16384;estimate;1.55285;0.421855;1.13099;0.352807;0.248054;0.231889;0.298238;
8;16384;16384;estimate;1.55955;0.420883;1.13866;0.354752;0.2393;0.231621;0.31299;
8;16384;16384;estimate;1.52232;0.420047;1.10227;0.353227;0.237025;0.232425;0.279589;
8;16384;16384;estimate;1.50408;0.422005;1.08206;0.352464;0.23912;0.232192;0.258288;
8;16384;16384;estimate;1.51948;0.422288;1.09718;0.350049;0.239014;0.231488;0.27663;
8;16384;16384;estimate;1.50302;0.42138;1.08164;0.354429;0.234637;0.231669;0.260902;
8;16384;16384;estimate;1.51753;0.419647;1.09787;0.352997;0.235462;0.231943;0.277468;
8;16384;16384;estimate;1.50064;0.419752;1.08087;0.354745;0.235253;0.232664;0.258213;
8;16384;16384;estimate;1.49731;0.419505;1.0778;0.353115;0.235758;0.232168;0.256761;
8;16384;16384;estimate;1.52056;0.421755;1.0988;0.352366;0.235385;0.231652;0.279394;
8;16384;16384;estimate;1.52366;0.419676;1.10397;0.354546;0.235014;0.231605;0.282807;
8;16384;16384;estimate;1.49771;0.419707;1.078;0.352487;0.235459;0.231971;0.25808;
8;16384;16384;estimate;1.52088;0.41942;1.10145;0.350606;0.235272;0.231665;0.283909;
8;16384;16384;estimate;1.5067;0.419868;1.08682;0.352454;0.236144;0.232885;0.265338;
8;16384;16384;estimate;1.56365;0.422529;1.14112;0.354783;0.236282;0.23813;0.311921;
8;16384;16384;estimate;1.49829;0.420936;1.07734;0.3525;0.235264;0.231878;0.257701;
8;16384;16384;estimate;1.52937;0.419247;1.11012;0.354172;0.238981;0.232724;0.284239;
8;16384;16384;estimate;1.53041;0.42051;1.10989;0.354648;0.240244;0.231747;0.283253;
8;16384;16384;estimate;1.52644;0.4197;1.10674;0.352626;0.24606;0.231278;0.276773;
8;16384;16384;estimate;1.50595;0.417541;1.0884;0.356958;0.240024;0.231409;0.260005;
8;16384;16384;estimate;1.54833;0.421545;1.12678;0.355431;0.246271;0.231942;0.293131;
8;16384;16384;estimate;1.50487;0.422053;1.08281;0.353374;0.237594;0.23315;0.258692;
8;16384;16384;estimate;1.51758;0.419085;1.09848;0.352638;0.239371;0.23274;0.273731;
8;16384;16384;estimate;1.49914;0.421769;1.07737;0.351125;0.238438;0.23225;0.255552;
8;16384;16384;estimate;1.53316;0.421535;1.11161;0.355198;0.235548;0.232368;0.288499;
16;16384;16384;estimate;1.01065;0.419625;0.591022;0.196274;0.12993;0.118882;0.145937;
16;16384;16384;estimate;1.00176;0.419635;0.582122;0.19619;0.129844;0.118671;0.137418;
16;16384;16384;estimate;1.00476;0.422488;0.582265;0.195284;0.130517;0.118018;0.138446;
16;16384;16384;estimate;1.00545;0.419144;0.586298;0.196128;0.130499;0.119152;0.14052;
16;16384;16384;estimate;1.00846;0.423024;0.585433;0.196227;0.130675;0.118951;0.13958;
16;16384;16384;estimate;1.0075;0.422779;0.584718;0.196786;0.129883;0.118549;0.1395;
16;16384;16384;estimate;1.00507;0.418855;0.586203;0.195918;0.129466;0.119604;0.141215;
16;16384;16384;estimate;1.00526;0.4235;0.581758;0.195947;0.129661;0.118537;0.137612;
16;16384;16384;estimate;1.01107;0.420514;0.590553;0.196446;0.131017;0.119074;0.144017;
16;16384;16384;estimate;1.00401;0.419837;0.584166;0.196468;0.130902;0.119177;0.137619;
16;16384;16384;estimate;1.01359;0.422949;0.590634;0.196035;0.132677;0.119629;0.142292;
16;16384;16384;estimate;1.00991;0.423141;0.586766;0.195375;0.130694;0.119175;0.141521;
16;16384;16384;estimate;1.00342;0.420702;0.582711;0.196237;0.130213;0.119227;0.137034;
16;16384;16384;estimate;1.00609;0.420726;0.585355;0.195756;0.130915;0.119328;0.139357;
16;16384;16384;estimate;1.00717;0.420366;0.586795;0.195688;0.129495;0.118668;0.142944;
16;16384;16384;estimate;1.0093;0.423936;0.585361;0.196322;0.131025;0.119566;0.138448;
16;16384;16384;estimate;1.00305;0.419227;0.583816;0.195681;0.130409;0.11874;0.138985;
16;16384;16384;estimate;1.0114;0.423136;0.588254;0.195967;0.130486;0.119805;0.141995;
16;16384;16384;estimate;1.00417;0.417887;0.58628;0.195489;0.130838;0.119308;0.140645;
16;16384;16384;estimate;1.00105;0.418851;0.582197;0.194705;0.13081;0.119459;0.137222;
16;16384;16384;estimate;1.00047;0.418737;0.581726;0.195715;0.129568;0.118395;0.138049;
16;16384;16384;estimate;1.0062;0.418546;0.587646;0.195781;0.130613;0.118995;0.142257;
16;16384;16384;estimate;1.00727;0.41929;0.58797;0.198041;0.130602;0.119057;0.14027;
16;16384;16384;estimate;1.00292;0.418665;0.58425;0.195461;0.1301;0.118609;0.14008;
16;16384;16384;estimate;1.00438;0.418804;0.585571;0.19613;0.130641;0.119523;0.139277;
16;16384;16384;estimate;1.00531;0.42178;0.583527;0.196177;0.130087;0.118849;0.138414;
16;16384;16384;estimate;1.00169;0.419135;0.582553;0.194409;0.130586;0.118892;0.138666;
16;16384;16384;estimate;1.00921;0.418629;0.590572;0.196509;0.131092;0.118747;0.144225;
16;16384;16384;estimate;1.00432;0.420163;0.584147;0.195313;0.129073;0.118461;0.141301;
16;16384;16384;estimate;1.00586;0.4203;0.585549;0.195106;0.131941;0.119048;0.139454;
16;16384;16384;estimate;1.00338;0.42077;0.582605;0.195883;0.129096;0.118692;0.138933;
16;16384;16384;estimate;1.00393;0.419789;0.58413;0.194539;0.131263;0.119999;0.13833;
16;16384;16384;estimate;1.00021;0.418034;0.582169;0.195489;0.129855;0.119423;0.137401;
16;16384;16384;estimate;1.00118;0.418471;0.5827;0.195436;0.130679;0.118563;0.138022;
16;16384;16384;estimate;1.00521;0.419471;0.585733;0.196958;0.130347;0.118979;0.139449;
16;16384;16384;estimate;1.00537;0.421209;0.584151;0.194888;0.130736;0.118872;0.139654;
16;16384;16384;estimate;1.00879;0.421779;0.587006;0.195867;0.130816;0.120154;0.14017;
16;16384;16384;estimate;1.00572;0.420846;0.58487;0.195619;0.13103;0.119058;0.139163;
16;16384;16384;estimate;1.00286;0.419134;0.583719;0.195088;0.129622;0.1186;0.140409;
16;16384;16384;estimate;1.00633;0.419097;0.587228;0.197224;0.130596;0.119174;0.140234;
16;16384;16384;estimate;1.00673;0.419381;0.587337;0.195698;0.130346;0.11883;0.142462;
16;16384;16384;estimate;1.01166;0.423018;0.588633;0.196243;0.131521;0.119457;0.141412;
16;16384;16384;estimate;1.00776;0.420614;0.587139;0.196772;0.131985;0.118855;0.139527;
16;16384;16384;estimate;1.00213;0.418481;0.583647;0.195278;0.130157;0.119286;0.138926;
16;16384;16384;estimate;1.01195;0.421769;0.590178;0.195246;0.130994;0.119646;0.144291;
16;16384;16384;estimate;1.00336;0.421359;0.581991;0.194788;0.129875;0.119027;0.138301;
16;16384;16384;estimate;1.00406;0.418988;0.585064;0.195603;0.130409;0.119136;0.139916;
16;16384;16384;estimate;1.00753;0.421337;0.586185;0.196203;0.130965;0.119113;0.139903;
16;16384;16384;estimate;1.00255;0.421725;0.580812;0.194842;0.12977;0.118997;0.137205;
16;16384;16384;estimate;1.00061;0.417286;0.583315;0.196149;0.130176;0.119613;0.137378;
32;16384;16384;estimate;0.818375;0.424829;0.393539;0.156514;0.0864555;0.0659413;0.0846277;
32;16384;16384;estimate;0.819758;0.42436;0.395391;0.158157;0.0851511;0.0654553;0.0866281;
32;16384;16384;estimate;0.822557;0.427399;0.395151;0.158484;0.0861213;0.0661184;0.0844271;
32;16384;16384;estimate;0.814991;0.422833;0.392151;0.155475;0.0855312;0.0658389;0.0853055;
32;16384;16384;estimate;0.815096;0.42597;0.389119;0.154578;0.0844825;0.0657165;0.0843426;
32;16384;16384;estimate;0.819552;0.426514;0.39303;0.157186;0.085808;0.0656147;0.0844219;
32;16384;16384;estimate;0.821718;0.426419;0.395293;0.157779;0.0860663;0.0658915;0.0855555;
32;16384;16384;estimate;0.820387;0.426;0.394381;0.15756;0.0859266;0.0656981;0.0851964;
32;16384;16384;estimate;0.820097;0.426304;0.393787;0.156467;0.0859685;0.0655695;0.0857823;
32;16384;16384;estimate;0.813959;0.424381;0.389573;0.153871;0.0857968;0.065659;0.084246;
32;16384;16384;estimate;0.830882;0.431427;0.399447;0.163697;0.0860907;0.0659062;0.0837539;
32;16384;16384;estimate;0.822626;0.426097;0.396523;0.158493;0.0868213;0.0656531;0.0855556;
32;16384;16384;estimate;0.821026;0.427052;0.393968;0.155724;0.0865797;0.0654749;0.0861895;
32;16384;16384;estimate;0.8194;0.426424;0.392969;0.155736;0.0849646;0.0654726;0.0867966;
32;16384;16384;estimate;0.819225;0.424987;0.394232;0.157716;0.0858619;0.0656337;0.0850203;
32;16384;16384;estimate;0.817395;0.423932;0.393457;0.156609;0.0851323;0.0658367;0.0858794;
32;16384;16384;estimate;0.821874;0.427814;0.394054;0.157183;0.0855746;0.0658726;0.0854234;
32;16384;16384;estimate;0.823299;0.427416;0.395877;0.157722;0.0860349;0.0660582;0.0860613;
32;16384;16384;estimate;0.82001;0.42771;0.392292;0.157651;0.0849568;0.0654335;0.0842499;
32;16384;16384;estimate;0.816258;0.42295;0.393302;0.158025;0.085342;0.0653644;0.0845706;
32;16384;16384;estimate;0.820525;0.423285;0.397226;0.159833;0.0847682;0.06563;0.0869954;
32;16384;16384;estimate;0.818194;0.423487;0.394702;0.156185;0.0861309;0.0658293;0.0865567;
32;16384;16384;estimate;0.81711;0.425165;0.391938;0.155695;0.085564;0.0656325;0.0850468;
32;16384;16384;estimate;0.820631;0.427428;0.393198;0.155407;0.0858209;0.0660342;0.0859355;
32;16384;16384;estimate;0.822963;0.424808;0.398149;0.157814;0.0869546;0.0659168;0.087463;
32;16384;16384;estimate;0.824656;0.42584;0.398809;0.158176;0.0864792;0.0657684;0.0883849;
32;16384;16384;estimate;0.819605;0.427045;0.392553;0.156051;0.0842871;0.0659376;0.0862772;
32;16384;16384;estimate;0.826102;0.427423;0.398673;0.158818;0.0856013;0.0656545;0.0885985;
32;16384;16384;estimate;0.818807;0.424296;0.394505;0.15822;0.0856536;0.0654045;0.0852263;
32;16384;16384;estimate;0.816587;0.427013;0.389567;0.154537;0.0843828;0.0657704;0.0848773;
32;16384;16384;estimate;0.824181;0.426974;0.3972;0.15895;0.0867923;0.0661241;0.0853338;
32;16384;16384;estimate;0.819546;0.425954;0.393583;0.156561;0.0850743;0.0658146;0.0861335;
32;16384;16384;estimate;0.816577;0.424159;0.392412;0.155027;0.0861236;0.0654154;0.0858469;
32;16384;16384;estimate;0.820055;0.422267;0.397778;0.160571;0.0854746;0.0658496;0.085883;
